Designator,Mid X,Mid Y,Rotation,Layer
R19,213.0,-124.1,90.0,top
R2,168.0,-105.8,90.0,top
R20,214.8,-129.2,90.0,top
R21,211.0,-124.1,90.0,top
R22,236.4,-124.1,90.0,top
R23,238.2,-129.2,90.0,top
R24,234.4,-124.1,90.0,top
R25,166.2,-147.5,90.0,top
R26,168.0,-152.6,90.0,top
R27,164.2,-147.5,90.0,top
R28,189.6,-147.5,90.0,top
R29,191.4,-152.6,90.0,top
R3,164.2,-100.7,90.0,top
R30,187.6,-147.5,90.0,top
R31,213.0,-147.5,90.0,top
R32,214.8,-152.6,90.0,top
R33,211.0,-147.5,90.0,top
R34,236.4,-147.5,90.0,top
R35,238.2,-152.6,90.0,top
R36,234.4,-147.5,90.0,top
R37,166.2,-170.9,90.0,top
R38,168.0,-176.0,90.0,top
R39,164.2,-170.9,90.0,top
R4,189.6,-100.7,90.0,top
R40,189.6,-170.9,90.0,top
R41,191.4,-176.0,90.0,top
R42,187.6,-170.9,90.0,top
R43,213.0,-170.9,90.0,top
R44,214.8,-176.0,90.0,top
R45,211.0,-170.9,90.0,top
R46,236.4,-170.9,90.0,top
R47,238.2,-176.0,90.0,top
R48,234.4,-170.9,90.0,top
R5,191.4,-105.8,90.0,top
R6,187.6,-100.7,90.0,top
R7,213.0,-100.7,90.0,top
R8,214.8,-105.8,90.0,top
R9,211.0,-100.7,90.0,top
U1,177.9375,-107.05,180.0,top
U10,201.3375,-153.85,180.0,top
U11,224.7375,-153.85,180.0,top
U12,248.1375,-153.85,180.0,top
U13,177.9375,-177.25,180.0,top
U14,201.3375,-177.25,180.0,top
U15,224.7375,-177.25,180.0,top
U16,248.1375,-177.25,180.0,top
U2,201.3375,-107.05,180.0,top
U3,224.7375,-107.05,180.0,top
U4,248.1375,-107.05,180.0,top
U5,177.9375,-130.45,180.0,top
U6,201.3375,-130.45,180.0,top
U7,224.7375,-130.45,180.0,top
U8,248.1375,-130.45,180.0,top
U9,177.9375,-153.85,180.0,top
